Time,N3 Packets,Throughput,UPF CPU
1,0,610.06,0.0012114
2,0,610.06,0
3,9404.064,610.06,1.4957222
4,57316.01,610.06,1.4384969
5,68680.59,610.06,1.4061669
6,68640.89,608.75,1.4101227
7,68796.03,608.75,1.4394147
8,68928.79,608.75,1.0965366
9,69086.76,608.75,1.1013706
10,69030.14,608.75,0.9513958
11,68629.92,610.13,0.8118804
12,68610.96,610.13,0.8718952
13,67107.71,610.13,0.9066378
14,68315.31,610.13,1.0926653
15,68889.11,610.13,0.9636279
16,68990.85,609.04,0.8121335
17,68844.24,609.04,0.8610199
18,68688.55,609.04,1.164219
19,68761.42,609.04,1.3347341
20,68600.42,609.04,1.3267625
21,68553.17,609.5,0.5260893
22,68728.9,609.5,0.9242517
23,67806.99,609.5,1.3278305
24,67827.57,609.5,1.0195628
25,68763.4,609.5,0.602493
26,69052.1,611.39,0.6671631
27,69082.78,611.39,1.0707272
28,68995.47,611.39,0.9918243
29,69107.35,611.39,1.0599238
30,69121.5,611.39,0.9248278
31,68694.58,615.8,0.808762
32,68666.73,615.8,0.8403914
33,68691.89,615.8,0.3290957
34,68783.59,615.8,0.5199931
35,69337.57,615.8,0.5674005
36,69638.51,615.8,0.4009049
37,69501.53,616.68,0.9353494
38,69558.41,616.68,0.7403399
39,69759.75,616.68,1.0369479
40,69512.21,616.68,1.1949139
41,69439.08,616.68,0.9606019
42,69432.74,618.33,1.0728861
43,69079.63,618.33,1.251427
44,69491.41,618.33,1.0340121
45,69627.5,618.33,0.5887634
46,69612.41,618.33,0.8734392
47,69657.47,619.18,0.9203054
48,69661.07,619.18,0.8335829
49,69617.18,619.18,0.8612171
50,69465.31,619.18,0.5838825
51,69693.46,619.18,0.9055598
52,69887.6,617.5,0.9822499
53,69950.83,617.5,1.1090401
54,69770.09,617.5,1.1649489
55,69540.42,617.5,1.3742815
56,69437.1,617.5,1.219462
57,69446.25,618.04,1.1915262
58,69556.64,618.04,1.0246997
59,69579.74,618.04,0.5593264
60,69502.83,618.04,0.9327415
