time,received,sent,multicast
2025-07-25 22:30:17,291801.3,-0.9998411,0
2025-07-25 22:30:16,291513,-1.00032,0
2025-07-25 22:30:15,291656.6,-1.0002475,0
2025-07-25 22:30:14,291180,-0.9997934,0
2025-07-25 22:30:13,290669.1,-1.0001565,0
2025-07-25 22:30:12,291032.8,-0.9995291,0
2025-07-25 22:30:11,290790,-0.9999448,0
2025-07-25 22:30:10,289851.8,-0.9998896,0
2025-07-25 22:30:09,290685.4,-0.9999798,0
2025-07-25 22:30:08,291198.9,-0.9999456,0
2025-07-25 22:30:07,291101.3,-1.0000504,0
2025-07-25 22:30:06,291121.1,-1.0000727,0
2025-07-25 22:30:05,290442.4,-1.0004745,0
2025-07-25 22:30:04,289373.6,-1.000712,0
2025-07-25 22:30:03,288832.2,-0.9998502,0
2025-07-25 22:30:02,288201.6,-1.0004489,0
2025-07-25 22:30:01,287259.1,-0.9996068,0
2025-07-25 22:30:00,287909.3,-0.9998153,0
2025-07-25 22:29:59,288908.5,-0.9996156,0
2025-07-25 22:29:58,289042,-1.00001,0
2025-07-25 22:29:57,288421.1,-1.0001234,0
2025-07-25 22:29:56,287311.2,-0.9997918,0
2025-07-25 22:29:55,288111.3,-0.9997704,0
2025-07-25 22:29:54,287809.3,-1.0004499,0
2025-07-25 22:29:53,287466.9,-1.0004748,0
2025-07-25 22:29:52,244651.8,-1.6421943,0
2025-07-25 22:29:51,104350.87,-2.357688,0
2025-07-25 22:29:50,1.0000546,-1.0000546,0
2025-07-25 22:29:49,0.999911,-0.999911,0
2025-07-25 22:29:48,0.9998651,-0.9998651,0
2025-07-25 22:29:47,0.9998891,-0.9998891,0
2025-07-25 22:29:46,0.6788197,-0.6788197,0
2025-07-25 22:29:45,0,0,0
2025-07-25 22:29:44,0,0,0
2025-07-25 22:29:43,0,0,0
2025-07-25 22:29:42,0,0,0
2025-07-25 22:29:41,0,0,0
2025-07-25 22:29:40,0,0,0
2025-07-25 22:29:39,0,0,0
2025-07-25 22:29:38,0,0,0
2025-07-25 22:29:37,0,0,0
2025-07-25 22:29:36,0,0,0
2025-07-25 22:29:35,0,0,0
2025-07-25 22:29:34,0,0,0
2025-07-25 22:29:33,0,0,0
