time,used
2025-07-25 22:21:06,0.0283
2025-07-25 22:21:05,0.0261
2025-07-25 22:21:04,0.0275
2025-07-25 22:21:03,0.0346
2025-07-25 22:21:02,0.0405
2025-07-25 22:21:01,0.0399
2025-07-25 22:21:00,0.0327
2025-07-25 22:20:59,0.0344
2025-07-25 22:20:58,0.0354
2025-07-25 22:20:57,0.0342
2025-07-25 22:20:56,0.0308
2025-07-25 22:20:55,0.0346
2025-07-25 22:20:54,0.031
2025-07-25 22:20:53,0.0335
2025-07-25 22:20:52,0.0297
2025-07-25 22:20:51,0.0304
2025-07-25 22:20:50,0.0366
2025-07-25 22:20:49,0.0364
2025-07-25 22:20:48,0.0338
2025-07-25 22:20:47,0.0257
2025-07-25 22:20:46,0.0282
2025-07-25 22:20:45,0.0234
2025-07-25 22:20:44,0.0295
2025-07-25 22:20:43,0.039
2025-07-25 22:20:42,0.023
2025-07-25 22:20:41,0.023
2025-07-25 22:20:40,0.0245
2025-07-25 22:20:39,0.0229
2025-07-25 22:20:38,0.0286
2025-07-25 22:20:37,0.023
2025-07-25 22:20:36,0.0208
2025-07-25 22:20:35,0.0239
2025-07-25 22:20:34,0.0215
2025-07-25 22:20:33,0.0216
2025-07-25 22:20:32,0.0222
2025-07-25 22:20:31,0.0142
2025-07-25 22:20:30,0.0149
2025-07-25 22:20:29,0.0167
2025-07-25 22:20:28,0.0148
2025-07-25 22:20:27,0.0179
2025-07-25 22:20:26,0.0187
2025-07-25 22:20:25,0.0215
2025-07-25 22:20:24,0.016
2025-07-25 22:20:23,0.0206
2025-07-25 22:20:22,0.016
2025-07-25 22:20:21,0.0206
