time,used
2025-07-25 22:25:57,0.0192
2025-07-25 22:25:56,0.0188
2025-07-25 22:25:55,0.0178
2025-07-25 22:25:54,0.018
2025-07-25 22:25:53,0.0171
2025-07-25 22:25:52,0.0168
2025-07-25 22:25:51,0.0172
2025-07-25 22:25:50,0.018
2025-07-25 22:25:49,0.0191
2025-07-25 22:25:48,0.0172
2025-07-25 22:25:47,0.0184
2025-07-25 22:25:46,0.0193
2025-07-25 22:25:45,0.0195
2025-07-25 22:25:44,0.0193
2025-07-25 22:25:43,0.0191
2025-07-25 22:25:42,0.0187
2025-07-25 22:25:41,0.0201
2025-07-25 22:25:40,0.0205
2025-07-25 22:25:39,0.0216
2025-07-25 22:25:38,0.0205
2025-07-25 22:25:37,0.0202
2025-07-25 22:25:36,0.0225
2025-07-25 22:25:35,0.0211
2025-07-25 22:25:34,0.0234
2025-07-25 22:25:33,0.0245
2025-07-25 22:25:32,0.0238
2025-07-25 22:25:31,0.0234
2025-07-25 22:25:30,0.0253
2025-07-25 22:25:29,0.0284
2025-07-25 22:25:28,0.0217
2025-07-25 22:25:27,0.0218
2025-07-25 22:25:26,0.0284
2025-07-25 22:25:25,0.019
2025-07-25 22:25:24,0.0228
2025-07-25 22:25:23,0.0183
2025-07-25 22:25:22,0.0218
2025-07-25 22:25:21,0.0186
2025-07-25 22:25:20,0.0218
2025-07-25 22:25:19,0.024
2025-07-25 22:25:18,0.0228
2025-07-25 22:25:17,0.0238
2025-07-25 22:25:16,0.0198
2025-07-25 22:25:15,0.1429
2025-07-25 22:25:14,0.0157
2025-07-25 22:25:13,0.017
2025-07-25 22:25:12,0.018
2025-07-25 22:25:11,0.0205
2025-07-25 22:25:10,0.0208
