time,used
2025-07-25 22:34:08,0.0194
2025-07-25 22:34:07,0.0225
2025-07-25 22:34:06,0.0236
2025-07-25 22:34:05,0.024
2025-07-25 22:34:04,0.0224
2025-07-25 22:34:03,0.0227
2025-07-25 22:34:02,0.0223
2025-07-25 22:34:01,0.0283
2025-07-25 22:34:00,0.0334
2025-07-25 22:33:59,0.0347
2025-07-25 22:33:58,0.0341
2025-07-25 22:33:57,0.0376
2025-07-25 22:33:56,0.0331
2025-07-25 22:33:55,0.0297
2025-07-25 22:33:54,0.0251
2025-07-25 22:33:53,0.0319
2025-07-25 22:33:52,0.0496
2025-07-25 22:33:51,0.0364
2025-07-25 22:33:50,0.0336
2025-07-25 22:33:49,0.0326
2025-07-25 22:33:48,0.0315
2025-07-25 22:33:47,0.0287
2025-07-25 22:33:46,0.0314
2025-07-25 22:33:45,0.0407
2025-07-25 22:33:44,0.0246
2025-07-25 22:33:43,0.0273
2025-07-25 22:33:42,0.0287
2025-07-25 22:33:41,0.0245
2025-07-25 22:33:40,0.0349
2025-07-25 22:33:39,0.0376
2025-07-25 22:33:38,0.0244
2025-07-25 22:33:37,0.0252
2025-07-25 22:33:36,0.0248
2025-07-25 22:33:35,0.0258
2025-07-25 22:33:34,0.0214
2025-07-25 22:33:33,0.0237
2025-07-25 22:33:32,0.0299
2025-07-25 22:33:31,0.0285
2025-07-25 22:33:30,0.0326
2025-07-25 22:33:29,0.0339
2025-07-25 22:33:28,0.023
2025-07-25 22:33:27,0.022
2025-07-25 22:33:26,0.0312
2025-07-25 22:33:25,0.0239
2025-07-25 22:33:24,0.0203
2025-07-25 22:33:23,0.0232
2025-07-25 22:33:22,0.0219
2025-07-25 22:33:21,0.0253
2025-07-25 22:33:20,0.0251
2025-07-25 22:33:19,0.029
