time,received,sent
2025-07-25 22:44:29,2364477,0
2025-07-25 22:44:28,2366983,0
2025-07-25 22:44:27,2363256,0
2025-07-25 22:44:26,2365573,0
2025-07-25 22:44:25,2358392,0
2025-07-25 22:44:24,2342510,0
2025-07-25 22:44:23,2360281,-0.3643533
2025-07-25 22:44:22,2360799,-1.1360835
2025-07-25 22:44:21,2359156,-1.1358772
2025-07-25 22:44:20,2353303,-1.2435857
2025-07-25 22:44:19,2352717,-1.3643755
2025-07-25 22:44:18,2353774,-1.1364376
2025-07-25 22:44:17,2359785,-1.137742
2025-07-25 22:44:16,2349527,-1.1373993
2025-07-25 22:44:15,2350873,-1.1340053
2025-07-25 22:44:14,2362108,-1.1369607
2025-07-25 22:44:13,2357849,-1.1358283
2025-07-25 22:44:12,2340668,-1.1349818
2025-07-25 22:44:11,2348461,-1.135763
2025-07-25 22:44:10,2394372,-1.1349852
2025-07-25 22:44:09,2377852,-1.135949
2025-07-25 22:44:08,2393339,-1.1362567
2025-07-25 22:44:07,2376270,-1.1359251
2025-07-25 22:44:06,2365903,-1.1357724
2025-07-25 22:44:05,2359048,-1.1356383
2025-07-25 22:44:04,2419655,-1.1360911
2025-07-25 22:44:03,2447657,-1.1360051
2025-07-25 22:44:02,2427756,-1.1366187
2025-07-25 22:44:01,2405028,-1.135638
2025-07-25 22:44:00,2416973,-1.1362686
2025-07-25 22:43:59,1948375,-1.1366966
2025-07-25 22:43:58,485969.3,-1.1361302
2025-07-25 22:43:57,1.3517813,-1.3517813
2025-07-25 22:43:56,1.5918825,-1.5918825
2025-07-25 22:43:55,1.1365763,-1.1365763
2025-07-25 22:43:54,1.1352853,-1.1352853
2025-07-25 22:43:53,1.135926,-1.135926
