time,mem_usage_ram,mem_usage_swap,net_fifo_n3_receive,net_fifo_n3_transmit,net_packets_eth0_received,net_packets_eth0_sent,net_packets_eth0_multicast,io_read,io_write,pgfaults_pgfault,pgfaults_swap,mem_anon,mem_kernel_stack,mem_slab,mem_sock,mem_anon_thp,mem_file,net_events_n3_frames,net_events_n3_collisions,net_events_n3_carrier,net_drops_n3_inbound,net_drops_n3_outbound,net_packets_n3_received,net_packets_n3_sent,net_packets_n3_multicast,mem_usage_limit_available,mem_usage_limit_used,cpu_user,cpu_system,net_n3_received,net_n3_sent,mem_utilization_utilization,cpu_limit_used,net_errors_n3_inbound,net_errors_n3_outbound
2025-07-25 22:50:33,176.5352,0,0,0,0.0,0.0,0,0,0,0,0,67.63281,0.1875,8.600204,0.0039062,0,351.6953,0,0,0,0,0,0.0,0.0,0,335.4648,176.5352,0.0,0.0400291,0.0,0.0,34,0.0435,0,0
2025-07-25 22:50:34,176.5352,0,0,0,0.0,0.0,0,0,0,0,0,67.63281,0.1875,8.600204,0.0039062,0,351.6953,0,0,0,0,0,0.0,0.0,0,335.4648,176.5352,0.0,0.0328992,0.0,0.0,34,0.0264,0,0
2025-07-25 22:50:35,176.5352,0,0,0,0.6801351,-0.6801351,0,0,0,0,0,67.63281,0.1875,8.600204,0.0039062,0,351.6953,0,0,0,0,0,0.6800967,-0.6800967,0,335.4648,176.5352,0.0,0.0402398,0.7726051,-0.7726051,34,0.0485,0,0
2025-07-25 22:50:36,176.5352,0,0,0,0.9996318,-0.9996318,0,0,0,0,0,67.63281,0.1875,8.600204,0.0039062,0,351.6953,0,0,0,0,0,0.9996239,-0.9996239,0,335.4648,176.5352,0.0,0.0415658,1.135572,-1.135572,34,0.0374,0,0
2025-07-25 22:50:37,176.5352,0,0,0,0.9997079,-0.9997079,0,0,0,0,0,67.63281,0.1875,8.600204,0.0039062,0,351.6953,0,0,0,0,0,0.9997005,-0.9997005,0,335.4648,176.5352,0.0,0.0415654,1.1356638,-1.1356638,34,0.0442,0,0
2025-07-25 22:50:38,176.5352,0,0,0,0.9999603,-0.9999603,0,0,0,0,0,67.63281,0.1875,8.600204,0.0039062,0,351.6953,0,0,0,0,0,3.038092,-0.9999572,0,335.4648,176.5352,0.0,0.0398383,5.576485,-1.1359529,34,0.0373,0,0
2025-07-25 22:50:39,176.5352,0,0,0,1.0001216,-1.0001216,0,0,0,0,0,67.63281,0.1875,8.600204,0.0039062,0,351.6953,0,0,0,0,0,61.0789,-1.0001265,0,335.4648,176.5352,0.0,0.0356921,208.9416,-1.1361417,34,0.0347,0,0
2025-07-25 22:50:40,176.5352,0,0,0,0.9999269,-0.9999269,0,0,0,0,0,67.63281,0.1875,8.600204,0.0039062,0,351.6953,0,0,0,0,0,268.7229,-0.9999284,0,335.4648,176.5352,0.0,0.0322097,1190.4034,-1.1359184,34,0.0307,0,0
2025-07-25 22:50:41,176.5352,0,0,0,2.359156,-2.359156,0,0,0,0,0,67.63281,0.1875,8.600204,0.0039062,0,351.6953,0,0,0,0,0,329.5604,-2.359055,0,335.4648,176.5352,0.0,0.0294684,1290.5155,-1.5927014,34,0.0288,0,0
2025-07-25 22:50:42,176.5352,0,0,0,1.6407261,-1.6407261,0,0,0,0,0,67.63281,0.1875,8.600204,0.0039062,0,351.6953,0,0,0,0,0,485.7307,-1.6408224,0,335.4648,176.5352,0.0024806,0.0262695,1997.5,-1.3511611,34,0.0287,0,0
