time,received,sent
2025-07-25 22:25:57,2415012,-1.1363661
2025-07-25 22:25:56,2419025,-1.1356223
2025-07-25 22:25:55,2398588,-1.136254
2025-07-25 22:25:54,2373618,-1.1359967
2025-07-25 22:25:53,2363304,-1.1359235
2025-07-25 22:25:52,2392278,-1.1360335
2025-07-25 22:25:51,2387740,-1.1360124
2025-07-25 22:25:50,2379768,-1.1365419
2025-07-25 22:25:49,2397514,-1.1368126
2025-07-25 22:25:48,2393579,-1.135563
2025-07-25 22:25:47,2388999,-1.1346943
2025-07-25 22:25:46,2402459,-1.135519
2025-07-25 22:25:45,2414543,-1.1361648
2025-07-25 22:25:44,2409763,-1.1366419
2025-07-25 22:25:43,2418237,-1.1364701
2025-07-25 22:25:42,2400372,-1.135397
2025-07-25 22:25:41,2391237,-1.1359707
2025-07-25 22:25:40,2416672,-1.1359866
2025-07-25 22:25:39,2389609,-1.1358945
2025-07-25 22:25:38,2373355,-1.1363228
2025-07-25 22:25:37,2389703,-1.1365616
2025-07-25 22:25:36,2402835,-1.1354765
2025-07-25 22:25:35,2391135,-1.1354075
2025-07-25 22:25:34,2389639,-1.1353211
2025-07-25 22:25:33,2396508,-1.1360248
2025-07-25 22:25:32,2396596,-1.35149
2025-07-25 22:25:31,2223165,-1.5928829
2025-07-25 22:25:30,1266762.8,-1.1356211
2025-07-25 22:25:29,1.1360518,-1.1360518
2025-07-25 22:25:28,1.1359342,-1.1359342
2025-07-25 22:25:27,1.1360413,-1.1360413
2025-07-25 22:25:26,0.7721853,-0.7721853
2025-07-25 22:25:25,0,0
2025-07-25 22:25:24,0,0
2025-07-25 22:25:23,0,0
2025-07-25 22:25:22,0,0
2025-07-25 22:25:21,0,0
2025-07-25 22:25:20,0,0
2025-07-25 22:25:19,0,0
2025-07-25 22:25:18,0,0
2025-07-25 22:25:17,0,0
2025-07-25 22:25:16,0,0
2025-07-25 22:25:15,0,0
2025-07-25 22:25:14,0,0
2025-07-25 22:25:13,0,0
2025-07-25 22:25:12,0,0
2025-07-25 22:25:11,0,0
2025-07-25 22:25:10,0,0
