time,received,sent
2025-07-25 22:34:08,15922.403,0
2025-07-25 22:34:07,15432.502,0
2025-07-25 22:34:06,11689.566,0
2025-07-25 22:34:05,11072.161,0
2025-07-25 22:34:04,12764.58,0
2025-07-25 22:34:03,12104.05,0
2025-07-25 22:34:02,13312.805,0
2025-07-25 22:34:01,17844.14,-0.365083
2025-07-25 22:34:00,22805.44,-1.1362
2025-07-25 22:33:59,16025.922,-1.1360576
2025-07-25 22:33:58,15775.591,-1.1359401
2025-07-25 22:33:57,15217.795,-1.1358016
2025-07-25 22:33:56,22773.21,-1.1359658
2025-07-25 22:33:55,23264.47,-1.1359692
2025-07-25 22:33:54,25340.5,-1.1359128
2025-07-25 22:33:53,22266.56,-1.1361602
2025-07-25 22:33:52,26178.91,-1.136043
2025-07-25 22:33:51,18908.58,-1.1361039
2025-07-25 22:33:50,20200.41,-1.1357283
2025-07-25 22:33:49,21855.56,-1.1360272
2025-07-25 22:33:48,23126.2,-1.1361868
2025-07-25 22:33:47,23169.45,-1.1361008
2025-07-25 22:33:46,19232.57,-1.1358534
2025-07-25 22:33:45,14314.787,-1.1358203
2025-07-25 22:33:44,7816.891,-1.1356896
2025-07-25 22:33:43,8117.539,-1.1357844
2025-07-25 22:33:42,7380.509,-1.1365693
2025-07-25 22:33:41,9557.968,-1.1361382
2025-07-25 22:33:40,10961.688,-1.1361244
2025-07-25 22:33:39,6295.668,-1.1357906
2025-07-25 22:33:38,3956.632,-1.1361566
2025-07-25 22:33:37,2433.169,-1.1359894
2025-07-25 22:33:36,1470.0305,-1.1359121
2025-07-25 22:33:35,1214.4599,-1.3520258
2025-07-25 22:33:34,855.7359,-1.5918964
2025-07-25 22:33:33,95.25922,-1.1358109
2025-07-25 22:33:32,1.1359889,-1.1359889
2025-07-25 22:33:31,1.1361994,-1.1361994
2025-07-25 22:33:30,1.1364193,-1.1364193
2025-07-25 22:33:29,0.7705508,-0.7705508
2025-07-25 22:33:28,0,0
2025-07-25 22:33:27,0,0
2025-07-25 22:33:26,0,0
2025-07-25 22:33:25,0,0
2025-07-25 22:33:24,0,0
2025-07-25 22:33:23,0,0
2025-07-25 22:33:22,0,0
2025-07-25 22:33:21,0,0
2025-07-25 22:33:20,0,0
2025-07-25 22:33:19,0,0
