time,used
2025-07-25 22:51:10,0.0225
2025-07-25 22:51:09,0.023
2025-07-25 22:51:08,0.0241
2025-07-25 22:51:07,0.0405
2025-07-25 22:51:06,0.042
2025-07-25 22:51:05,0.0323
2025-07-25 22:51:04,0.0271
2025-07-25 22:51:03,0.0274
2025-07-25 22:51:02,0.0282
2025-07-25 22:51:01,0.0269
2025-07-25 22:51:00,0.0251
2025-07-25 22:50:59,0.0261
2025-07-25 22:50:58,0.0351
2025-07-25 22:50:57,0.0394
2025-07-25 22:50:56,0.0301
2025-07-25 22:50:55,0.031
2025-07-25 22:50:54,0.0284
2025-07-25 22:50:53,0.0304
2025-07-25 22:50:52,0.0327
2025-07-25 22:50:51,0.0441
2025-07-25 22:50:50,0.0334
2025-07-25 22:50:49,0.0312
2025-07-25 22:50:48,0.0312
2025-07-25 22:50:47,0.0345
2025-07-25 22:50:46,0.0284
2025-07-25 22:50:45,0.0382
2025-07-25 22:50:44,0.0297
2025-07-25 22:50:43,0.0272
2025-07-25 22:50:42,0.0287
2025-07-25 22:50:41,0.0288
2025-07-25 22:50:40,0.0307
2025-07-25 22:50:39,0.0347
2025-07-25 22:50:38,0.0373
2025-07-25 22:50:37,0.0442
2025-07-25 22:50:36,0.0374
2025-07-25 22:50:35,0.0485
2025-07-25 22:50:34,0.0264
2025-07-25 22:50:33,0.0435
