time,received,sent
2025-07-25 22:51:10,12610.344,0
2025-07-25 22:51:09,9129.307,0
2025-07-25 22:51:08,13280.002,0
2025-07-25 22:51:07,16503.083,-0.365091
2025-07-25 22:51:06,20192.08,-1.1365299
2025-07-25 22:51:05,19781.18,-1.1359071
2025-07-25 22:51:04,14091.524,-1.1360866
2025-07-25 22:51:03,17404.07,-1.1360906
2025-07-25 22:51:02,18551.16,-1.1358419
2025-07-25 22:51:01,23388.07,-1.1358124
2025-07-25 22:51:00,25468.73,-1.1362606
2025-07-25 22:50:59,20676.51,-1.1357631
2025-07-25 22:50:58,24630.26,-1.1359308
2025-07-25 22:50:57,26345.3,-1.1353967
2025-07-25 22:50:56,17273.31,-1.1359704
2025-07-25 22:50:55,20285.43,-1.1360236
2025-07-25 22:50:54,22001.5,-1.1361673
2025-07-25 22:50:53,25577.41,-1.1360998
2025-07-25 22:50:52,20542.05,-1.1354659
2025-07-25 22:50:51,16274.574,-1.1358358
2025-07-25 22:50:50,11278.393,-1.1363177
2025-07-25 22:50:49,7959.126,-1.1362122
2025-07-25 22:50:48,7843.804,-1.1355857
2025-07-25 22:50:47,7596.084,-1.1360467
2025-07-25 22:50:46,9734.313,-1.1359661
2025-07-25 22:50:45,10378.285,-1.1359298
2025-07-25 22:50:44,4830.74,-1.1361104
2025-07-25 22:50:43,2842.746,-1.1358414
2025-07-25 22:50:42,1997.5,-1.3511611
2025-07-25 22:50:41,1290.5155,-1.5927014
2025-07-25 22:50:40,1190.4034,-1.1359184
2025-07-25 22:50:39,208.9416,-1.1361417
2025-07-25 22:50:38,5.576485,-1.1359529
2025-07-25 22:50:37,1.1356638,-1.1356638
2025-07-25 22:50:36,1.135572,-1.135572
2025-07-25 22:50:35,0.7726051,-0.7726051
2025-07-25 22:50:34,0,0
2025-07-25 22:50:33,0,0
