time,used
2025-07-07 14:18:23,5.1468
2025-07-07 14:18:22,6.0804
2025-07-07 14:18:21,5.0632
2025-07-07 14:18:20,5.854
2025-07-07 14:18:19,5.8308
2025-07-07 14:18:18,6.2332
2025-07-07 14:18:17,4.3484
2025-07-07 14:18:16,5.456
2025-07-07 14:18:15,4.8976
2025-07-07 14:18:14,6.0908
2025-07-07 14:18:13,4.9472
2025-07-07 14:18:12,5.1916
2025-07-07 14:18:11,5.6532
2025-07-07 14:18:10,5.5032
2025-07-07 14:18:09,5.278
2025-07-07 14:18:08,4.9272
2025-07-07 14:18:07,5.41
2025-07-07 14:18:06,5.6628
2025-07-07 14:18:05,5.3952
2025-07-07 14:18:04,6.1884
2025-07-07 14:18:03,5.3476
2025-07-07 14:18:02,5.778
2025-07-07 14:18:01,4.7264
2025-07-07 14:18:00,5.2256
2025-07-07 14:17:59,4.88
2025-07-07 14:17:58,4.5284
2025-07-07 14:17:57,5.1852
2025-07-07 14:17:56,5.1128
2025-07-07 14:17:55,4.9776
2025-07-07 14:17:54,5.1512
2025-07-07 14:17:53,4.5904
2025-07-07 14:17:52,4.7952
2025-07-07 14:17:51,4.6772
2025-07-07 14:17:50,4.9032
2025-07-07 14:17:49,4.8524
2025-07-07 14:17:48,4.9736
2025-07-07 14:17:47,5.9024
2025-07-07 14:17:46,5.65
2025-07-07 14:17:45,6.0248
2025-07-07 14:17:44,0.2136
2025-07-07 14:17:43,6.0512
2025-07-07 14:17:42,6.164
2025-07-07 14:17:41,6.2752
2025-07-07 14:17:40,5.8544
2025-07-07 14:17:39,6.3028
2025-07-07 14:17:38,6.2436
2025-07-07 14:17:37,5.844
2025-07-07 14:17:36,6.2848
2025-07-07 14:17:35,5.7712
2025-07-07 14:17:34,5.1592
2025-07-07 14:17:33,5.3728
2025-07-07 14:17:32,5.0348
2025-07-07 14:17:31,5.8576
2025-07-07 14:17:30,5.8992
2025-07-07 14:17:29,5.5336
2025-07-07 14:17:28,5.8056
2025-07-07 14:17:27,5.3476
2025-07-07 14:17:26,6.3856
