time,mem_usage_ram,mem_usage_swap,net_fifo_n3_receive,net_fifo_n3_transmit,net_packets_eth0_received,net_packets_eth0_sent,net_packets_eth0_multicast,io_read,io_write,pgfaults_pgfault,pgfaults_swap,mem_anon,mem_kernel_stack,mem_slab,mem_sock,mem_anon_thp,mem_file,net_events_n3_frames,net_events_n3_collisions,net_events_n3_carrier,net_drops_n3_inbound,net_drops_n3_outbound,net_packets_n3_received,net_packets_n3_sent,net_packets_n3_multicast,mem_usage_limit_available,mem_usage_limit_used,cpu_user,cpu_system,net_n3_received,net_n3_sent,mem_utilization_utilization,cpu_limit_used,net_errors_n3_inbound,net_errors_n3_outbound
2025-07-07 14:17:26,285.1992,0,0,0,0,0,0,0,-1.5594962,9.359628,0,20.40625,0.46875,165.60265,0.0039062,0,293.1445,0,0,0,0,0,0.0,0,0,226.8008,285.1992,0.0,1.4957222,0.0,0,55,6.3856,0,0
2025-07-07 14:17:27,285.25,0,0,0,0,0,0,0,0.0,9.374216,0,20.40625,0.46875,165.60856,0.0039062,0,293.1445,0,0,0,0,0,0.0,0,0,226.75,285.25,0.0,1.4384969,0.0,0,55,5.3476,0,0
2025-07-07 14:17:28,285.1836,0,0,0,0,0,0,0,0.0,9.361317,0,20.40625,0.46875,165.59787,0.0039062,0,293.1445,0,0,0,0,0,0.0,0,0,226.8164,285.1836,0.0,1.4061669,0.0,0,55,5.8056,0,0
2025-07-07 14:17:29,285.0938,0,0,0,0,0,0,0,0.0,9.388598,0,20.40625,0.46875,165.59743,0.0039062,0,293.1445,0,0,0,0,0,0.0,0,0,226.9062,285.0938,0.0,1.4101227,0.0,0,55,5.5336,0,0
2025-07-07 14:17:30,285.0781,0,0,0,0,0,0,0,-2.440495,9.39037,0,20.40625,0.46875,165.59435,0.0039062,0,293.1445,0,0,0,0,0,53028.16,0,0,226.9219,285.0781,0.0,1.4394147,470901.4,0,55,5.8992,0,0
2025-07-07 14:17:31,285.1055,0,0,0,0,0,0,0,-1.5595053,9.366417,0,20.40625,0.46875,165.60529,0.0039062,0,293.1445,0,0,0,0,0,68409.18,0,0,226.8945,285.1055,0.3709493,1.0965366,607474.4,0,55,5.8576,0,0
2025-07-07 14:17:32,285.1914,0,0,0,0,0,0,0,0.0,9.354362,0,20.40625,0.46875,165.60591,0.0039062,0,293.1445,0,0,0,0,0,68883.68,0,0,226.8086,285.1914,0.2376507,1.1013706,611686.7,0,55,5.0348,0,0
2025-07-07 14:17:33,285.2617,0,0,0,0,0,0,0,0.0,9.327464,0,20.40625,0.46875,165.60928,0.0039062,0,293.1445,0,0,0,0,0,68939.82,0,0,226.7383,285.2617,0.3581772,0.9513958,612186.5,0,55,5.3728,0,0
2025-07-07 14:17:34,285.043,0,0,0,0,0,0,0,0.0,9.355352,0,20.40625,0.46875,165.59912,0.0039062,0,293.1445,0,0,0,0,0,68983.13,0,0,226.957,285.043,0.4994725,0.8118804,612569.0,0,55,5.1592,0,0
2025-07-07 14:17:35,285.1602,0,0,0,0,0,0,0,0.0,9.39351,0,20.40625,0.46875,165.60516,0.0039062,0,293.1445,0,0,0,0,0,68892.5,0,0,226.8398,285.1602,0.5119187,0.8718952,611770.9,0,55,5.7712,0,0
