time,read,write
2025-07-07 14:18:23,0,-1.56041
2025-07-07 14:18:22,0,-2.43959
2025-07-07 14:18:21,0,0
2025-07-07 14:18:20,0,0
2025-07-07 14:18:19,0,0
2025-07-07 14:18:18,0,-1.5603856
2025-07-07 14:18:17,0,-2.439614
2025-07-07 14:18:16,0,0
2025-07-07 14:18:15,0,0
2025-07-07 14:18:14,0,0
2025-07-07 14:18:13,0,-1.5598319
2025-07-07 14:18:12,0,-2.440168
2025-07-07 14:18:11,0,0
2025-07-07 14:18:10,0,0
2025-07-07 14:18:09,0,0
2025-07-07 14:18:08,0,0
2025-07-07 14:18:07,0,-1.5613066
2025-07-07 14:18:06,0,-2.438693
2025-07-07 14:18:05,0,0
2025-07-07 14:18:04,0,0
2025-07-07 14:18:03,0,0
2025-07-07 14:18:02,0,0
2025-07-07 14:18:01,0,-3.122878
2025-07-07 14:18:00,0,-4.877122
2025-07-07 14:17:59,0,0
2025-07-07 14:17:58,0,0
2025-07-07 14:17:57,0,0
2025-07-07 14:17:56,0,0
2025-07-07 14:17:55,0,-1.5611742
2025-07-07 14:17:54,0,-2.438826
2025-07-07 14:17:53,0,0
2025-07-07 14:17:52,0,0
2025-07-07 14:17:51,0,0
2025-07-07 14:17:50,0,-1.5607955
2025-07-07 14:17:49,0,-2.439204
2025-07-07 14:17:48,0,0
2025-07-07 14:17:47,0,0
2025-07-07 14:17:46,0,0
2025-07-07 14:17:45,0,0
2025-07-07 14:17:44,0,-1.5636495
2025-07-07 14:17:43,0,-2.43635
2025-07-07 14:17:42,0,0
2025-07-07 14:17:41,0,0
2025-07-07 14:17:40,0,0
2025-07-07 14:17:39,0,0
2025-07-07 14:17:38,0,0
2025-07-07 14:17:37,0,-1.5599077
2025-07-07 14:17:36,0,-2.440092
2025-07-07 14:17:35,0,0
2025-07-07 14:17:34,0,0
2025-07-07 14:17:33,0,0
2025-07-07 14:17:32,0,0
2025-07-07 14:17:31,0,-1.5595053
2025-07-07 14:17:30,0,-2.440495
2025-07-07 14:17:29,0,0
2025-07-07 14:17:28,0,0
2025-07-07 14:17:27,0,0
2025-07-07 14:17:26,0,-1.5594962
