time,received,sent,multicast
2025-07-07 11:15:31,41406.09,0,0
2025-07-07 11:15:30,69141.97,0,0
2025-07-07 11:15:29,69276.02,0,0
2025-07-07 11:15:28,69412.06,0,0
2025-07-07 11:15:27,69639.79,0,0
2025-07-07 11:15:26,69720.36,0,0
2025-07-07 11:15:25,69714.52,0,0
2025-07-07 11:15:24,69715.34,0,0
2025-07-07 11:15:23,69692.03,0,0
2025-07-07 11:15:22,69643.33,0,0
2025-07-07 11:15:21,69675.35,0,0
2025-07-07 11:15:20,69475.68,0,0
2025-07-07 11:15:19,69824.76,0,0
2025-07-07 11:15:18,69687.91,0,0
2025-07-07 11:15:17,69502.83,0,0
2025-07-07 11:15:16,69579.74,0,0
2025-07-07 11:15:15,69556.64,0,0
2025-07-07 11:15:14,69446.25,0,0
2025-07-07 11:15:13,69437.1,0,0
2025-07-07 11:15:12,69540.42,0,0
2025-07-07 11:15:11,69770.09,0,0
2025-07-07 11:15:10,69950.83,0,0
2025-07-07 11:15:09,69887.6,0,0
2025-07-07 11:15:08,69693.46,0,0
2025-07-07 11:15:07,69465.31,0,0
2025-07-07 11:15:06,69617.18,0,0
2025-07-07 11:15:05,69661.07,0,0
2025-07-07 11:15:04,69657.47,0,0
2025-07-07 11:15:03,69612.41,0,0
2025-07-07 11:15:02,69627.5,0,0
2025-07-07 11:15:01,69491.41,0,0
2025-07-07 11:15:00,69079.63,0,0
2025-07-07 11:14:59,69432.74,0,0
2025-07-07 11:14:58,69439.08,0,0
2025-07-07 11:14:57,69512.21,0,0
2025-07-07 11:14:56,69759.75,0,0
2025-07-07 11:14:55,69558.41,0,0
2025-07-07 11:14:54,69501.53,0,0
2025-07-07 11:14:53,69638.51,0,0
2025-07-07 11:14:52,69337.57,0,0
2025-07-07 11:14:51,68783.59,0,0
2025-07-07 11:14:50,68691.89,0,0
2025-07-07 11:14:49,68666.73,0,0
2025-07-07 11:14:48,68694.58,0,0
2025-07-07 11:14:47,69121.5,0,0
2025-07-07 11:14:46,69107.35,0,0
2025-07-07 11:14:45,68995.47,0,0
2025-07-07 11:14:44,69082.78,0,0
2025-07-07 11:14:43,69052.1,0,0
2025-07-07 11:14:42,68763.4,0,0
2025-07-07 11:14:41,67827.57,0,0
2025-07-07 11:14:40,67806.99,0,0
2025-07-07 11:14:39,68728.9,0,0
2025-07-07 11:14:38,68553.17,0,0
2025-07-07 11:14:37,68600.42,0,0
2025-07-07 11:14:36,68761.42,0,0
2025-07-07 11:14:35,68688.55,0,0
2025-07-07 11:14:34,68844.24,0,0
2025-07-07 11:14:33,68990.85,0,0
2025-07-07 11:14:32,68889.11,0,0
2025-07-07 11:14:31,68315.31,0,0
2025-07-07 11:14:30,67107.71,0,0
2025-07-07 11:14:29,68610.96,0,0
2025-07-07 11:14:28,68629.92,0,0
2025-07-07 11:14:27,69030.14,0,0
2025-07-07 11:14:26,69086.76,0,0
2025-07-07 11:14:25,68928.79,0,0
2025-07-07 11:14:24,68796.03,0,0
2025-07-07 11:14:23,68640.89,0,0
2025-07-07 11:14:22,68680.59,0,0
2025-07-07 11:14:21,57316.01,0,0
2025-07-07 11:14:20,9404.064,0,0
2025-07-07 11:14:19,0,0,0
2025-07-07 11:14:18,0,0,0
